BSN;Name;PLZ;Adresse;Telefon;Fax;eMail;Internet;
01A04;Berlin-Kolleg;10551;Turmstr. 75;+49 30 901838210;+49 30 901838222;sekretariat@berlin-kolleg.de;https://www.berlin-kolleg.de
01B01;OSZ Banken  Immobilien und Versicherungen;10557;Alt-Moabit 10;+49 30 398840;+49 30 39884119;info@osz-biv.de;https://www.osz-biv.de
01B02;Staatliche Technikerschule Berlin;10555;Bochumer Str. 8B;+49 30 901891400;+49 30 901891405;info@technikerschule-berlin.de;https://www.technikerschule-berlin.de
01B03;OSZ Kommunikations-  Informations- und Medientechnik;13359;Osloer Str. 23-26;+49 30 493070;+49 30 49307100;Sekretariat@oszkim.de;https://www.oszkim.de/wp
01B04;OSZ Gesundheit I;13349;Schwyzer Str. 6-8;+49 30 4530800;+49 30 45308077;sekretariat@osz-gesundheit.de;https://www.osz-gesundheit.de
01G01;Grundschule am Arkonaplatz;10115;Ruppiner Str. 47;+49 30 48625680;+49 30 486256820;sekretariat@arkonaplatz.schule.berlin.de;https://grundschuleamarkonaplatz.de
01G02;Papageno-Grundschule;10115;Bergstr. 58;+49 30 30881711;+49 30 30881710;sekretariat@papageno-grundschule.de;http://www.papageno-grundschule.de
01G04;Kastanienbaum-Grundschule;10119;Gipsstr. 23A;+49 30 275816330;+49 30 275816350;sekretariat@kb.schule.berlin.de;https://www.kastanienbaum-grundschule.de
01G05;Grundschule Neues Tor;10115;Hannoversche Str. 20;+49 30 24088330;+49 30 24088340;schulleitung@01G05.schule.berlin.de;https://www.neues-tor.de
01G07;GutsMuths-Grundschule;10179;Singerstr. 8;+49 30 2408386;+49 30 24083888;sekretariat@gutsmuths.schule.berlin.de;https://www.gutsmuths-grundschule.de
01G08;Grundschule am Brandenburger Tor;10117;Wilhelmstr. 52;+49 30 20629430;+49 30 20629440;sekretariat@gsabt.schule.berlin.de;https://grundschule.technik-4-you.de
01G10;City-Grundschule;10179;Sebastianstr. 57;+49 30 28449060;+49 30 28449070;sekretariat@city.schule.berlin.de;https://city-grundschule.de
01G11;Kurt-Tucholsky-Grundschule;10559;Rathenower Str. 18;+49 30 3974429310;+49 30 3974429338;01G11@01G11.schule.berlin.de;https://kurt-tucholsky-grundschule.de
01G15;Anne-Frank-Grundschule;10557;Paulstr. 20B;+49 30 20629180;+49 30 20629188;sekretariat@anne-frank.schule.berlin.de;https://www.anne-frank-grundschule.de
01G16;Moabiter Grundschule;10557;Paulstr. 28;+49 30 30208630;+49 30 30208640;kontakt@moabiter-grundschule.de;https://www.moabiter-grundschule.de
01G18;Carl-Bolle-Grundschule;10551;Waldenserstr. 20-21;+49 30 397457810;+49 30 397457811;info@Bolle.Schule.Berlin.de;https://www.carlbolleschule.de
01G19;Hansa-Grundschule;10555;Lessingstr. 5;+49 30 39806430;+49 30 39806434;sekretariat@01G19.schule.berlin.de ;http://www.hansa-grundschule-online.de
01G24;Gottfried-Röhl-Grundschule;13349;Ungarnstr. 75;+49 30 45081110;+49 30 45081120;01G24@01G24.schule.berlin.de;https://www.gottfried-roehl-schule.de
01G25;Rudolf-Wissell-Grundschule;13357;Ellerbeker Str. 7-8;+49 30 49799940;+49 30 497999420;Schulleitung@rudolf-wissell.schule.berlin.de;http://www.rudolf-wissell-grundschule.de
01G27;Gesundbrunnen-Grundschule;13357;Prinzenallee 8;+49 30 493015660;+49 30 493015666;01G27@01G27.schule.berlin.de;https://gesundbrunnen-grundschule.de
01G28;Brüder-Grimm-Grundschule;13353;Tegeler Str. 18-19;+49 30 4530840;+49 30 45308415;sekretariat@bggs.schule.berlin.de;https://bggs-berlin.de
01G29;Wilhelm-Hauff-Grundschule;13359;Gotenburger Str. 8;+49 30 48490810;+49 30 48490820;01G29@01G29.schule.berlin.de;https://wilhelm-hauff-grundschule.de
01G31;Wedding-Grundschule;13347;Antonstr. 10;+49 30 901844250;+49 30 901847437;plorenz@wedding-schule.de;https://www.wedding-schule.de
01G32;Carl-Kraemer-Grundschule;13359;Zechliner Str. 4;+49 30 4998993;+49 30 49989955;sekretariat@carl-kraemer-gs.de;http://www.carl-kraemer-gs.de
01G35;Humboldthain-Grundschule;13355;Grenzstr. 7;+49 30 46777330;+49 30 46777340;sekretariat@humboldthain.schule.berlin.de;https://www.humboldthain-grundschule.de
01G36;Andersen-Grundschule;13359;Kattegatstr. 26;+49 30 493015410;+49 30 493015420;sekretariat@andersen.schule.berlin.de;https://www.andersen-grundschule.de
01G37;Heinrich-Seidel-Grundschule;13355;Ramlerstr. 9-10;+49 30 4677669210;+49 30 4677669219;info@hsgs.berlin;https://hsgs.berlin
01G38;Gustav-Falke-Grundschule;13355;Strelitzer Str. 42;+49 30 467779960;+49 30 467779974;info@gustav-falke-schule.de;http://www.gustav-falke-schule.de
01G39;Vineta-Grundschule;13355;Demminer Str. 27;+49 30 467768660;+49 30 467768670;info@vineta.schule.berlin.de;http://www.vineta-grundschule.de
01G40;Möwensee-Grundschule;13351;Afrikanische Str. 123-125;+49 30 45979210;+49 30 45979233;sekretariat@moewensee.schule.berlin.de;http://www.moewensee-schule.de
01G41;Erika-Mann-Grundschule;13347;Utrechter Str. 25-27;+49 30 45085510;+49 30 45085511;schulleitung@erika-mann-grundschule.com;https://erika-mann-grundschule.com
01G42;Anna-Lindh-Schule (Grundschule);13351;Guineastr. 17-18;+49 30 45307530;+49 30 45307520;01G42@01G42.schule.berlin.de;https://anna-lindh-schule.de
01G43;Albert-Gutzmann-Schule (Grundschule);13357;Pankstr. 70;+49 30 46905960;+49 30 46905970;sekretariat@gutzmannschule.de;https://www.gutzmannschule.de
01G44;Allegro-Grundschule;10785;Lützowstr. 83-85;+49 30 257572710;+49 30 257572734;berlin@allegro-grundschule.de;https://www.allegro-grundschule.de
01G45;Leo-Lionni-Grundschule;13353;Willdenowstr. 11;+49 30 469799670;+49 30 469799674;sekretariat@leo-lionni.schule.berlin.de;https://www.leo-lionni-grundschule.de
01G46;Grundschule am Koppenplatz;10115;Koppenplatz 12;+49 30 8471210910;+49 30 8471210920;sekretariat@koppenplatz.schule.berlin.de;https://schule-am-koppenplatz.de
01G47;Miriam-Makeba-Grundschule;10555;Zinzendorfstr. 15-16;+49 30 39405210;+49 30 39405220;01G47@01G47.schule.berlin.de;https://miriam-makeba-schule.de
01G48;Grundschule am Nordhafen;10115;Boyenstr. 1;+49 30 225027130;+49 30;01G48@01G48.schule.berlin.de;https://www.48-schule-berlin.de
01G49;49. Schule (Grundschule);10179;Adalbertstr. 53;+49 1728339016;+49 30;01G49@01G49.schule.berlin.de;https://grundschule-adalbertstraße.de
01K01;Willy-Brandt-Schule;13357;Grüntaler Str. 5;+49 30 4039492120;+49 30 4039492170;kontakt@willy-brandt-teamschule.de;https://www.willybrandtschule.de
01K02;Ernst-Schering-Schule;13353;Lütticher Str. 47-48;+49 30 45308710;+49 30 45308711;sekretariat@01k02.schule.berlin.de;https://ernst-schering-schule.de
01K03;Ernst-Reuter-Schule;13355;Stralsunder Str. 57;+49 30 467779910;+49 30 467779916;verwaltung@ernst-reuter-schule.berlin;https://ernst-reuter-schule.berlin
01K04;Heinrich-von-Stephan-Gemeinschaftsschule;10553;Neues Ufer 6;+49 30 39063130;+49 30 39063140;sekretariat@hvs.schule.berlin.de;https://hvs-schule-berlin.de
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);13357;Pankstr. 18-19;+49 30 46906340;+49 30 46906344;schulleitung@hhs-berlin.de;https://www.hhs-berlin.de
01K07;Hemingway-Schule;10115;Gartenstraße 10-17;+49 30 200892210;+49 30 200892220;sekretariat@hemingway-schule.de;https://www.hemingway-schule.de
